2024-01-31 22:54:06,649 INFO    StreamThr :5268 [internal.py:wandb_internal():86] W&B internal server running at pid: 5268, started at: 2024-01-31 22:54:06.647918
2024-01-31 22:54:06,650 DEBUG   HandlerThread:5268 [handler.py:handle_request():146] handle_request: status
2024-01-31 22:54:06,652 INFO    WriterThread:5268 [datastore.py:open_for_write():87] open: C:\Users\tomda\Desktop\symmetry_learning\wandb\run-20240131_225406-taxxce0n\run-taxxce0n.wandb
2024-01-31 22:54:06,652 DEBUG   SenderThread:5268 [sender.py:send():382] send: header
2024-01-31 22:54:06,682 DEBUG   SenderThread:5268 [sender.py:send():382] send: run
2024-01-31 22:54:07,206 INFO    SenderThread:5268 [dir_watcher.py:__init__():211] watching files in: C:\Users\tomda\Desktop\symmetry_learning\wandb\run-20240131_225406-taxxce0n\files
2024-01-31 22:54:07,206 INFO    SenderThread:5268 [sender.py:_start_run_threads():1136] run started: taxxce0n with start time 1706759646.64932
2024-01-31 22:54:07,214 DEBUG   HandlerThread:5268 [handler.py:handle_request():146] handle_request: check_version
2024-01-31 22:54:07,215 DEBUG   SenderThread:5268 [sender.py:send_request():409] send_request: check_version
2024-01-31 22:54:12,230 DEBUG   HandlerThread:5268 [handler.py:handle_request():146] handle_request: status_report
2024-01-31 22:54:12,235 DEBUG   HandlerThread:5268 [handler.py:handle_request():146] handle_request: run_start
2024-01-31 22:54:12,255 DEBUG   HandlerThread:5268 [system_info.py:__init__():27] System info init
2024-01-31 22:54:12,255 DEBUG   HandlerThread:5268 [system_info.py:__init__():42] System info init done
2024-01-31 22:54:12,255 INFO    HandlerThread:5268 [system_monitor.py:start():194] Starting system monitor
2024-01-31 22:54:12,255 INFO    SystemMonitor:5268 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-31 22:54:12,255 INFO    HandlerThread:5268 [system_monitor.py:probe():214] Collecting system info
2024-01-31 22:54:12,262 INFO    SystemMonitor:5268 [interfaces.py:start():190] Started cpu monitoring
2024-01-31 22:54:12,264 DEBUG   HandlerThread:5268 [system_info.py:probe():151] Probing system
2024-01-31 22:54:12,264 INFO    SystemMonitor:5268 [interfaces.py:start():190] Started disk monitoring
2024-01-31 22:54:12,264 INFO    SystemMonitor:5268 [interfaces.py:start():190] Started gpu monitoring
2024-01-31 22:54:12,266 INFO    SystemMonitor:5268 [interfaces.py:start():190] Started memory monitoring
2024-01-31 22:54:12,273 INFO    SystemMonitor:5268 [interfaces.py:start():190] Started network monitoring
2024-01-31 22:54:12,274 DEBUG   HandlerThread:5268 [system_info.py:_probe_git():136] Probing git
2024-01-31 22:54:12,330 DEBUG   HandlerThread:5268 [system_info.py:_probe_git():144] Probing git done
2024-01-31 22:54:12,330 DEBUG   HandlerThread:5268 [system_info.py:probe():199] Probing system done
2024-01-31 22:54:12,330 DEBUG   HandlerThread:5268 [system_monitor.py:probe():223] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.11.5', 'heartbeatAt': '2024-02-01T03:54:12.264239', 'startedAt': '2024-02-01T03:54:06.633075', 'docker': None, 'cuda': None, 'args': ('-c', 'bc'), 'state': 'running', 'program': 'C:\\Users\\tomda\\Desktop\\symmetry_learning\\symmetry_shift_runner.py', 'codePathLocal': 'symmetry_shift_runner.py', 'codePath': 'symmetry_shift_runner.py', 'git': {'remote': 'git@github.com:tkaminsky/symmetry_learning.git', 'commit': 'ffba65af91d1ba4999bc200beca3888cc6613e10'}, 'email': 'tomdavkam@gmail.com', 'root': 'C:/Users/tomda/Desktop/symmetry_learning', 'host': 'tomdavkam', 'username': 'tomda', 'executable': 'C:\\Users\\tomda\\anaconda3\\python.exe', 'cpu_count': 8, 'cpu_count_logical': 16, 'cpu_freq': {'current': 3195.0, 'min': 0.0, 'max': 4001.0}, 'cpu_freq_per_core': [{'current': 3195.0, 'min': 0.0, 'max': 4001.0}], 'disk': {'/': {'total': 794.588981628418, 'used': 697.0099411010742}}, 'gpu': 'NVIDIA GeForce RTX 4070 Laptop GPU', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce RTX 4070 Laptop GPU', 'memory_total': 8585740288}], 'memory': {'total': 31.21628189086914}}
2024-01-31 22:54:12,330 INFO    HandlerThread:5268 [system_monitor.py:probe():224] Finished collecting system info
2024-01-31 22:54:12,330 INFO    HandlerThread:5268 [system_monitor.py:probe():227] Publishing system info
